Node ID | X | Y | Width | Height | Node childs | Game objects
0 | 2048 | 2048 | 4096 | 4096 | 1 2 3 4 | -1
1 | 1024 | 3072 | 2048 | 2048 | -1 | -1
2 | 3072 | 3072 | 2048 | 2048 | -1 | -1
3 | 1024 | 1024 | 2048 | 2048 | 31 32 33 34 | -1
31 | 512 | 1536 | 1024 | 1024 | -1 | -1
32 | 1536 | 1536 | 1024 | 1024 | -1 | -1
33 | 512 | 512 | 1024 | 1024 | 331 332 333 334 | -1
331 | 256 | 768 | 512 | 512 | -1 | -1
332 | 768 | 768 | 512 | 512 | -1 | 1 2 3
333 | 256 | 256 | 512 | 512 | -1 | -1
334 | 768 | 256 | 512 | 512 | -1 | 4 5 6
34 | 1536 | 512 | 1024 | 1024 | -1 | -1
4 | 3072 | 1024 | 2048 | 2048 | 41 42 43 44 | -1
41 | 2560 | 1536 | 1024 | 1024 | -1 | -1
42 | 3584 | 1536 | 1024 | 1024 | -1 | -1
43 | 2560 | 512 | 1024 | 1024 | -1 | -1
44 | 3584 | 512 | 1024 | 1024 | -1 | -1
